"77796","Paid","Paid","Dean Marshall","","Dean Marshall - Invoice - Toilet :Lowes Simple Installs","#27113 - Toilet :Lowes Simple Installs","Toilet :Lowes Simple Installs","","50","50","50","5","45","90","50","0","0","50","Yes","","","","0","","","","0","Jul 23, 2026","","Aug 22, 2026","","","Thu Jul 23 2026 11:34:12 GMT-0700","2026","July 2026","","","","Add On","0","0","0","0","0","5","0","5","Brenton Heward","","","0","0","NaN","Thu Jul 23 2026 05:00:00 GMT-0700","Thu Jul 23 2026 05:00:00 GMT-0700","-","-","722 W Nova Pl, Casa Grande, AZ 85122","Casa Grande","AZ","85122","No","Lowes:Simple Installs","","","","","","","","","","","","17559474","520-709-5858","marshall90621@gmail.com","null","","","IMS","","","PLUMB - GENERAL (NO SOFTENERS)","PLUMB - GENERAL (NO SOFTENERS)","Sat Jul 18 2026 08:01:10 GMT-0700","","Dean Marshall","","Dean","Marshall","","413423088","","","Lowes - Simple Installs","","","","","","","Canceled","Simple installs -1- KOHLER Battan The Complete Solution White Elongated Chair height 12-in Rough-In WaterSense 1.28 GPF Soft Close 2-piece Toilet/ pick up from lowe's/

1436 E. FLORENCE BOULEVARD,
Casa Grande, AZ 85122
Store: #2272
Phone: (520) 836-4170

Delivery Fee: PR32459908
Trip charge: PR32467908","Sean Marble","Lowes","Customer has a 10 inch Ruffin and they got a 12 Ruffin toilet. Also the skirted toilet that they got will not fit because the toilet goes all the way back to the wall and their waterline is too close which will hit. Customer has been informed and knows what to look for and what to get now returning toilet to Lowe’s.
Toilet returned to Lowe’s pictures enclosed","Pick up from Lowes,Lowes","Default Workflow"
"77795","Paid","Paid","Corneille MINANI","","Corneille MINANI - Estimate - Toilet :Lowes Simple Installs","#27100 - Toilet :Lowes Simple Installs","Toilet :Lowes Simple Installs","Corneille MINANI - Estimate - Toilet :Lowes Simple Installs","147.5","147.5","147.5","35.6","111.9","76","147.5","0","55","92.5","Yes","","","","0","","","","0","Jul 23, 2026","","Aug 22, 2026","Thu Jul 23 2026 11:20:31 GMT-0700","Thu Jul 23 2026 09:43:40 GMT-0700","Thu Jul 23 2026 11:20:31 GMT-0700","2026","July 2026","","","","Add On","0","0","0","0","24.5","11.1","24.5","11.1","Brenton Heward","Erik Tange","","0","29","NaN","Thu Jul 23 2026 05:00:00 GMT-0700","Thu Jul 23 2026 05:00:00 GMT-0700","-","-","7130 W Katharine Way, Peoria, AZ 85383","Peoria","AZ","85383","No","Lowes:Simple Installs","","","","","","","","","","","","17590858","480-270-9358","corneille.minani@gmail.com","null","","","IMS","","","PLUMB - GENERAL (NO SOFTENERS)","PLUMB - GENERAL (NO SOFTENERS)","Tue Jul 21 2026 08:00:33 GMT-0700","","Corneille MINANI","","Corneille","MINANI","","413607163","","","Lowes - Simple Installs","","","","","","","Completed","Simple installs -1- KOHLER Prosa White Elongated Chair height 12-in Rough-In WaterSense 1.28 GPF Soft Close 1-piece Toilet/ pick up from lowes/ going on second floor master bath

25311 N LAKE PLEASANT PKWY,
Peoria, AZ 85383
Store: #2820
Phone: (623) 537-2640

Delivery Fee: PR32459873","Erik Tange","Lowes","Exsisting angle stop is single piece gate valve and does NOT shut off and has a minor drip. 
I suggested to customer they should have it replaced. Customer agreed to quote and invoice.
Turned water off to house, disconnected supply line, removed old toilet, cleaned area under old toilet. 
Exsisting toilet flange is below floor level, but otherwise in good working condition.
Removed old angle stop, cut 1/4"" off end of copper pipe. **Installed new 1/4 turn angle stop and new 16"" toilet supply line.**
Turned water back on to house, checked angle stop for leaks, no leaks. Installed new included wax ring, and doubled with extra from my truck.
Installed new 1 piece toilet, connected supply line, checked for leaks, no leaks. Installed new included toilet seat. Toilet flushes and functions as necessary. Sealed to floor with white silicone caulking.","Pick up from Lowes,Lowes","Default Workflow"
"77794","Invoiced","Invoiced","Robert Stall","","Robert Stall - Estimate","#27139 - Water Heater Install :Lowes Water Heaters","Water Heater Install :Lowes Water Heaters","Robert Stall - Estimate","1980.5","1980.5","1980.5","1218","762.5","39","0","1980.5","1188","792.5","No","","","","0","","","","0","Jul 23, 2026","","Aug 22, 2026","Thu Jul 23 2026 11:07:18 GMT-0700","Wed Jul 22 2026 16:41:40 GMT-0700","Thu Jul 23 2026 11:07:18 GMT-0700","2026","July 2026","Water heater from local Lowe’s store. On my arrival I was directed to the garage or water heater was to be replaced. Began by shutting off power and the breaker panel and shutting off water service to the home. While draining down water heater, I removed old supply lines and Ball valve, power, whip, and temperature pressure, relief, lamp, pressure, relief valve. I installed a mounting bracket for the thermal expansion tank and a fixed thermal expansion tank to wall. I installed a new Ball valve and two new supply lines and a cold water supply line to thermal expansion tank. Customer wanted us to reuse drip pan. I said new water heater into place, can also supply lines, power, whip, and connect temperature and pressure relief line to temperature and pressure relief valve. Restored water service at home to check for leaks in leaks at this time. I restored power to water heater in to the operational.","","","Needs Permit,Lowes","0","0","0","0","918","300","918","300","Travis Germain","Travis Germain","","2.35","46.54","NaN","","","-","-","7420 E Onyx Court, Scottsdale, AZ 85258","Scottsdale","AZ","85258","No","Lowes","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17611616","(480) 231-4040","rstall@cox.net","","","Travis Germain","IME","1st Attempt","","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","Wed Jul 22 2026 16:06:31 GMT-0700","","Robert Stall","","Robert","Stall","","41438311","Garage","","Lowes - Water Heaters","","","","","","","Completed","WH4824703
9 Year Warranty
8-12noon
Order #


Order Number:
300902203264719291

Lowes Store Address:7950 EAST MCDOWELL ROAD, Scottsdale, AZ, 85257


Notes and Details (Addon bundles, other details):","Edward Lopez","Lowes","Water heater from local Lowe’s store. On my arrival I was directed to the garage or water heater was to be replaced. Began by shutting off power and the breaker panel and shutting off water service to the home. While draining down water heater, I removed old supply lines and Ball valve, power, whip, and temperature pressure, relief, lamp, pressure, relief valve. I installed a mounting bracket for the thermal expansion tank and a fixed thermal expansion tank to wall. I installed a new Ball valve and two new supply lines and a cold water supply line to thermal expansion tank. Customer wanted us to reuse drip pan. I said new water heater into place, can also supply lines, power, whip, and connect temperature and pressure relief line to temperature and pressure relief valve. Restored water service at home to check for leaks in leaks at this time. I restored power to water heater in to the operational.","Lowes,Pick up from Lowes","Default Workflow"
"61983418","Invoiced","Invoiced","Brielle  Harvey","","","No parent Job","","","150","150","150","0","150","100","0","150","0","150","No","","","","0","","","","0","Jul 23, 2026","","Jul 23, 2026","","","Thu Jul 23 2026 11:05:19 GMT-0700","2026","July 2026","We appreciate your business and prompt payment","","","","0","0","0","0","0","0","0","0","Jed Green","","","30","45","NaN","","","-","-","2030 North Miller Road, Scottsdale, Arizona 85257","Scottsdale","Arizona","85257","Yes","","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","11743237","480-721-2216","abrielleharvey@yahoo.com","","","","Existing Customer","","","","","Fri Aug 08 2025 12:37:17 GMT-0700","Pool Cleaning,Phoenix","Brielle  Harvey","","Brielle","Harvey","","","","","","","","","","","","","","","","","","Default Workflow"
"77792","Sent","Sent","Dwell Apartment Homes","29th Street Communities","Dwell Apartment Homes - Estimate","#25458 - Sewer","Sewer","Dwell Apartment Homes - Estimate","6500","6500","6500","2725.29","3774.71","58","0","6500","635","5865","No","","","","0","","","","0","Jul 22, 2026","","Aug 22, 2026","Thu Jul 23 2026 10:53:39 GMT-0700","Tue Jun 09 2026 13:01:29 GMT-0700","Thu Jul 23 2026 10:53:39 GMT-0700","2026","July 2026","","","","","0","0","0","0","300","958.8","300","958.8","Chris Marrs","","","0","0","NaN","","","-","-","1923 North 70th Street, Scottsdale, Arizona 85257","Scottsdale","Arizona","85257","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","16450907","480-547-7130","megan.pearce@29scliving.com","","","Logen Uknavage","Referral","","","","Fan Coils","Tue May 12 2026 14:48:41 GMT-0700","Phoenix,MFH","Dwell Apartment Homes","Dwell Apartment Homes","Shannon","","","","","","MFH - Plumbing","","Approved by Dave","","","","","Completed","Bldg 1915
Scope of Work
Utility Safety: 
Contact ""Blue Stake"" to locate and mark all underground utility lines prior to excavation.
Demolition & Excavation: 
Sawcut and remove approximately 15' x 2' of asphalt on the west side of the property to gain access.
Pipe Removal: 
Excavate and remove approximately 15 linear feet of compromised 4"" clay sewer pipe.
Installation: 
Supply and install new 4"" ABS sewer pipe to replace the damaged clay section.
Compliance: 
Ensure all new piping is set to the proper grade and installed strictly according to local plumbing codes.
Restoration & Cleanup: 
Backfill the excavated area, compact the soil to prevent settling, and clean up the work area of debris.

Disclosures and Exclusions
Asphalt Patching: Asphalt repair and replacement are explicitly excluded from this estimate. A separate estimate for asphalt restoration can be provided upon completion of the plumbing work.
This estimate is only for the exterior sewer line running from the cleanouts to the main sewer tap","Benito Valdez, Roman Twardoz","MFH - Plumbing, Swiss Army Knife","Meet hunter here at 9:30,camera located line,went to home depot for tool rentals and materials, came back saw curt asphalt, removed and disposed of asphalt and started digging we found that approximately 9' of our trench has concrete 6"" down and approximately 8"" thick,we continued to dig what we could and at the end of the day made safe area","","Default Workflow"
"77791","Invoiced","Invoiced","Ben Tieni","","Ben Tieni - Estimate","#27103 - Water Heater Install :Lowes Water Heaters","Water Heater Install :Lowes Water Heaters","Ben Tieni - Estimate","1585.25","1585.25","1585.25","825","760.25","48","0","1585.25","825","760.25","No","","","","0","","","","0","Jul 23, 2026","","Aug 22, 2026","Thu Jul 23 2026 10:53:23 GMT-0700","Wed Jul 22 2026 11:14:14 GMT-0700","Thu Jul 23 2026 10:53:23 GMT-0700","2026","July 2026","Scope of Work Performed**

* Removed two existing supply lines
* Removed one existing shut off valve 
* Disconnected the ventilation and gas line
* Cut the T&P line
* Drained water heater and removed unit from the house

**Installation & Reconnection**

* Installed two new water supply lines
* Installed one new shut off valve 
* Installed 22-inch drain pan
* Re-ran T&P discharge line into the wall outlet
* Connected ventilation and gas line
* Filled water heater

**Testing & Closeout**

* Checked system for proper operation
* Registered the new water heater
* All documentation signed and payment collected","","","Lowes","0","0","0","0","610","215","610","215","Travis Germain","Travis Germain","","30","475.57","NaN","","","-","-","3411 N 24th Dr, Phoenix, AZ 85015","Phoenix","AZ","85015","No","Lowes","","","41435689","","Lowe's","Free","","Residential","Tier 1 - 8%","","","16175026","(480) 323-8336","bentieni@gmail.com","","","Travis Germain","IME","1st Attempt","","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","Thu Apr 30 2026 22:43:53 GMT-0700","","Ben Tieni","","Ben","Tieni","","41435689","","","Lowes - Water Heaters","","","","","","","Completed","WH1325040
Notes and Details (Addon bundles, other details):","Matt Schlosser","Lowes","Scope of Work Performed**

* Removed two existing supply lines
* Removed one existing shut off valve 
* Disconnected the ventilation and gas line
* Cut the T&P line
* Drained water heater and removed unit from the house

**Installation & Reconnection**

* Installed two new water supply lines
* Installed one new shut off valve 
* Installed 22-inch drain pan
* Re-ran T&P discharge line into the wall outlet
* Connected ventilation and gas line
* Filled water heater

**Testing & Closeout**

* Checked system for proper operation
* Registered the new water heater
* All documentation signed and payment collected","In Warehouse,Lowes","Default Workflow"
"77790","Paid","Paid","SUNNY HO","","SUNNY HO - Estimate - Toilet :Lowes Simple Installs","#26922 - Toilet :Lowes Simple Installs","Toilet :Lowes Simple Installs","SUNNY HO - Estimate - Toilet :Lowes Simple Installs","92.5","92.5","92.5","11.1","81.4","88","92.5","0","0","92.5","Yes","","","","0","","","","0","Jul 23, 2026","","Aug 22, 2026","Thu Jul 23 2026 10:46:53 GMT-0700","Thu Jul 23 2026 09:22:00 GMT-0700","Thu Jul 23 2026 10:46:53 GMT-0700","2026","July 2026","","","","Add On","0","0","0","0","0","11.1","0","11.1","Brenton Heward","","","0","0","NaN","Thu Jul 23 2026 05:00:00 GMT-0700","Thu Jul 23 2026 05:00:00 GMT-0700","-","-","13125 N TANNER ROBERT DR, ORO VALLEY, AZ 85755","ORO VALLEY","AZ","85755","No","Lowes:Simple Installs","","","","","","","","","","","","17521603","512-507-2373","sunnyho85@gmail.com","null","","","IMS","","","PLUMB - ONLINE ONLY","PLUMB - ONLINE ONLY","Thu Jul 16 2026 08:00:26 GMT-0700","","SUNNY HO","","SUNNY","HO","","413250732","","","Lowes - Simple Installs","","","","","","","Completed","Simple installs -1- American Standard Champion White Elongated Chair height 12-in Rough-In 1.6 GPF Soft Close 2-piece Toilet/ pick up from lowe's/
Order #:300902196264086155

4075 WEST INA ROAD,
Tucson, AZ 85741
Store: #1707
Phone: (520) 572-7300","Mathew Hodges","Lowes","Came out to customers house to install American Standard toilet pulled the old toilet found out the toilet flange was not put in correctly. Customer told me that they had a company come out and do the subfloor fixed. The toilet flange ring installed new toilet with new waxing and bolts turned water back on to test for no leaks. There is no leaks at this time but I did tell the customer that they do have to call the other company back out because the subfloor is not put incorrectly because it is still soft and if you walk on it, the whole toilet moves, but I tried to shim it as much as I can. Customer is calling out the other company to fix the issue. My toilet is installed, and there’s no leaks at this time. Customer is satisfied with the work and collecting payment for fixing toilet flange ring.","Lowes,Pick up from Lowes","Default Workflow"
"77787","Sent","Sent","Landmark Senior Housing","Native American Connections","Landmark Senior Housing - Estimate - Active Water Leak :Plumbing","#27136 - Active Water Leak :Plumbing","Active Water Leak :Plumbing","Landmark Senior Housing - Estimate - Active Water Leak :Plumbing","323","323","323","56.2","266.8","83","0","323","63","260","No","","","","0","","","","0","Jul 23, 2026","","Aug 22, 2026","","","Thu Jul 23 2026 09:47:37 GMT-0700","2026","July 2026","","","","","0","0","0","0","25","31.2","25","31.2","Hunter Howell","Hunter Howell","","30","80.04","NaN","","","-","-","8232 North 59th Avenue, Glendale, Arizona 85302","Glendale","Arizona","85302","No","","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15738975","602-648-9738","apnac@nativeconnections.org","","","Logen Uknavage","","","","","","Fri Apr 10 2026 11:17:43 GMT-0700","","Landmark Senior Housing","Landmark Senior Housing","","","","","","","MFH - Plumbing","","Justin","","","","","Completed","Unit 113
Up to down leak
POC is Justin (maintenance director)","Hunter Howell","MFH - Plumbing","Findings:
An abandoned drain line was found leaking due to unglued end caps.
Includes:
Removed existing unglued caps
Properly cleaned and glued new caps in place
Leak tested to verify repair
Cleaned up work area
Excludes:
Work beyond listed scope
Water damage
Existing piping beyond the repaired area","","Default Workflow"
"77782","Paid","Paid","Dalia Nicols","","Dalia Nicols - Invoice - Sink :Lowes Simple Installs","#26930 - Sink :Lowes Simple Installs","Sink :Lowes Simple Installs","","50","50","50","5","45","90","50","0","0","50","Yes","","","","0","","","","0","Jul 23, 2026","","Aug 7, 2026","","","Thu Jul 23 2026 08:11:43 GMT-0700","2026","July 2026","","","","Add On","0","0","0","0","0","5","0","5","Brenton Heward","","","0","0","NaN","Thu Jul 23 2026 05:00:00 GMT-0700","Thu Jul 23 2026 05:00:00 GMT-0700","-","-","8127 West Miami Street, Phoenix, Arizona 85043","Phoenix","Arizona","85043","No","Lowes:Simple Installs","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17300051","(602) 300-3354","nicolsdalia@yahoo.com","","","","IMS","","","","","Thu Jun 25 2026 15:12:34 GMT-0700","Lowes - Simple Installs","Dalia Nicols","","Dalia","Nicols","","412793851","","","Lowes - Simple Installs","","","","","","","Canceled","Simple installs - FORNO ACQUA MultiSINK (Glass Rinser Waterfall) Drop-in or 33-in x 22-in Stainless steel Single bowl 18 -Gauge Workstation Kitchen Sink All-in-One Kit with Drainboard/ pick up from lowe's/ 

1620 NORTH 75TH AVENUE,
Phoenix, AZ 85035
Store: #1042
Phone: (623) 845-6292

Trip charge: PR32464065","Sean Marble","Lowes","Upon the first visit, the daughter was present and she did not relay any of the information to her mother. There is mold growing underneath the sink and the countertops are falling apart. It looks like the whole countertop may cave it on itself, especially with removal of current sink, customer needs to have countertops addressed and mold situation taken care of before they can move forward. This information was all given to the Customer‘s daughter upon the first visit.","Lowes,Pick up from Lowes","Default Workflow"
"77781","Paid","Paid","Lorriane De Lateur","","lorrine delatur - Estimate","#26957 - Water Heater Install :Lowes Water Heaters","Water Heater Install :Lowes Water Heaters","lorrine delatur - Estimate","1802.7","1802.7","1802.7","1073","729.7","40","1802.7","0","1043","759.7","Yes","","","","0","","","","0","Jul 23, 2026","","Aug 22, 2026","Thu Jul 23 2026 07:53:27 GMT-0700","Mon Jul 20 2026 10:50:48 GMT-0700","Thu Jul 23 2026 07:53:27 GMT-0700","2026","July 2026","Came out customers house to install 40 gallon water heater natural gas and I made sure of that because I asked the homeowner and I looked on the side of the house to make sure they actually had natural gas removed the old water heater to install the new water heater had a perfectly shut off valve that still worked and installed new gas line with new supply lines hooked up the vent made sure everything turned water back on to make sure there was no leaks. There is no leaks at this time. Water heater is now heating up now gonna be collecting payment.","","","Needs Permit,Lowes","0","0","0","0","803","270","803","270","Gina Neisius","Gina Neisius","","30","540.81","NaN","Tue Jul 28 2026 05:00:00 GMT-0700","Tue Jul 28 2026 05:00:00 GMT-0700","-","-","12520 n anway rd, Marana, AZ 85653","Marana","AZ","85653","No","Lowes","","","41418831","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17580410","(928) 451-8266","farmdee@comcast.net","","","Gina Neisius","IME","New Prospect","","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","Sun Jul 19 2026 15:46:08 GMT-0700","","Lorriane De Lateur","","Lorriane","De Lateur","","41418831","closet on side of home","","Lowes - Water Heaters","","","","","","","Completed","#1325042
12p-4p
 

Order #300902201264483611

Lowes Store Address: 4151 NORTH ORACLE ROAD, Tucson, AZ, 85705


Notes and Details (Addon bundles, other details):","Mathew Hodges","Lowes","Came out customers house to install 40 gallon water heater natural gas and I made sure of that because I asked the homeowner and I looked on the side of the house to make sure they actually had natural gas removed the old water heater to install the new water heater had a perfectly shut off valve that still worked and installed new gas line with new supply lines hooked up the vent made sure everything turned water back on to make sure there was no leaks. There is no leaks at this time. Water heater is now heating up now gonna be collecting payment.","Lowes,Pick up from Lowes","Default Workflow"
"77780","Sent","Sent","8th St. Apartments","","8th St. Apartments - Estimate - Water Heater :Plumbing","#26985 - Water Heater :Plumbing","Water Heater :Plumbing","8th St. Apartments - Estimate - Water Heater :Plumbing","1195","1195","1195","644.4","550.6","46","0","1195","900","295","No","","","","0","","","","0","Jul 23, 2026","Thu Jul 23 2026 18:06:33 GMT-0700","Aug 21, 2026","Wed Jul 22 2026 20:32:44 GMT-0700","Wed Jul 22 2026 18:29:58 GMT-0700","Wed Jul 22 2026 20:32:44 GMT-0700","2026","July 2026","","","","","0","0","0","0","600","44.4","600","44.4","AJ Diaz","AJ Diaz","","26","143.15","NaN","","","-","-","3333 W 8th St Thatcher, Arizona 85552","","Arizona","85552","No","AZ Service:Gila Valley","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","6709223","(520) 878-7027","pm@liveat8thstapts.com","(480) 856-7263","","Jeff Green","Cushman & Wakefield","","","","","Tue Apr 23 2024 06:32:23 GMT-0700","","8th St. Apartments","8th St. Apartments","Isabelle","Anderson","","","","","Gila Valley - Plumbing","","Tyson","","","","","Completed","Tyson called in about unit e2 with a drain pan that is full of water. He doesn't see it leaking any where, but would like us out to take care of it. It was installed a little over a year ago","AJ Diaz","Gila Valley","","VIP","Default Workflow"
"77779","Sent","Sent","Palm Spring Two","Dunlap and Magee","Unit 1 - Condensate Leak & Drain Line Repair","#27138 - No Cool :HVAC","No Cool :HVAC","","193","193","193","40.6","152.4","79","0","193","63","130","No","","","","0","","","","0","Jul 22, 2026","","Aug 21, 2026","","","Wed Jul 22 2026 19:47:27 GMT-0700","2026","July 2026","","","","","0","0","0","0","25","15.6","25","15.6","Chuy Torres","Chuy Torres","","32","48.76","NaN","","","-","-","950 South Royal Palm Road, Apache Junction, Arizona 85119","Apache Junction","Arizona","85119","No","MFH:MFH - HVAC","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17611718","(480) 497-9837","goldensands@qwestoffice.net","","","","","","","","","Wed Jul 22 2026 16:40:38 GMT-0700","MFH","Palm Spring Two","Palm Spring Two","Rhonda","Moore","","","","","MFH - HVAC","","Rhonda","","","","","Completed","Unit #1
Rhonda called because there is a copper line that is leaking in to the apartment. It appears to be connected to the hvac.
POC Rhonda","Chuy Torres","MFH - HVAC","---

## **Field Service Report: Condensate Leak & Drain Line Repair**

**Date:** July 22, 2026  
**Unit:** 1  
**Status:** Arrived on-site to investigate a condensate leak, found the drain line physically disconnected, installed a new coupler to repair the line, and restored proper drainage.

### **Diagnostic Findings**
* **Initial Assessment:** Responded to a service call to investigate an active **condensate drain leak** at the indoor equipment.
* **System Evaluation:** Inspected the HVAC drain assembly and found the root cause immediately: the primary condensate drain line was **physically detached** from the main drain. 

### **Repairs Performed**
* **Drain Repair:** Sourced the proper PVC fittings and **installed a new coupler** to permanently and securely reconnect the detached drain line back to the main drain assembly. 

### **Final Status**
* **Verification:** Ran water through the system to thoroughly test the newly installed coupler and piping. Confirmed that there are no active leaks at the joint and the system is **draining properly**.
* **Outcome:** **Restored operation; the leak is resolved and the system is draining as designed at this time.**

---

**Status: Drain Line Reconnected & Tested — Ticket Closed**

---","","Default Workflow"
"77778","Sent","Sent","Golden Sands Apts Dunlap/Magee","Dunlap and Magee","Unit 24 - Capacitor Replacement & Wiring Repair","#27095 - No Cool :HVAC","No Cool :HVAC","","323","323","323","56.2","266.8","83","0","323","63","260","No","","","","0","","","","0","Jul 22, 2026","","Aug 21, 2026","","","Wed Jul 22 2026 19:44:58 GMT-0700","2026","July 2026","","","","","0","0","0","0","25","31.2","25","31.2","Chuy Torres","Chuy Torres","","32","85.37","NaN","","","-","-","700 East 9th Avenue, Apache Junction, Arizona 85119","Apache Junction","Arizona","85119","No","MFH:MFH - HVAC","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","6732064","480-982-2245","rhonda@dunlap-sites.com","602-244-1006","","","","","","","","Wed Apr 24 2024 18:20:41 GMT-0700","","Golden Sands Apts Dunlap/Magee","Golden Sands Apts Dunlap/Magee","Rhonda","Moore","","","","","MFH - HVAC","","Rhonda","","","","","Completed","Unit 24
Rhonda called in to have us out for a unit not cooling. Blowing warm air. It is a roof unit
POC Rhonda","Chuy Torres","MFH - HVAC","---

## **Field Service Report: Capacitor Replacement & Low-Voltage Wiring Repair**

**Date:** July 22, 2026  
**Unit:** 24  
**Status:** Arrived on-site for a cooling issue. Diagnosed a shorted run capacitor and hard start kit, as well as exposed low-voltage wiring. Replaced the capacitor, repaired the bare wires, and restored operation.

### **Diagnostic Findings**
* **Initial Assessment:** Responded to a service call to evaluate the outdoor HVAC equipment.
* **Electrical Evaluation (High Voltage):** Tested the electrical components and found both the **35/5 mfd dual run capacitor** and an aftermarket hard start kit had shorted out and failed. 
* **Wiring Inspection (Low Voltage):** Inspected the control wiring heading to the condenser and found that the **thermostat wires were bare** and exposed, creating a severe risk for a low-voltage short. 

### **Repairs Performed**
* **Component Replacement:** Removed the failed components. Supplied and installed a brand-new **35/5 mfd run capacitor**. I evaluated the compressor's start-up draw and determined that a replacement hard start kit was not required to get the unit running safely.
* **Wiring Repair:** Cut back the compromised section of the low-voltage control wire and spliced in about **one foot of new thermostat wire**. Made secure, properly insulated new connections to eliminate the bare wires. 

### **Final Status**
* **Verification:** Powered the system back on and monitored the start-up. The compressor and fan motor are running smoothly on the new capacitor, and the low-voltage circuit is fully secure.
* **Outcome:** **Restored operation; the system is working properly at this time.**

---

**Status: Repairs Completed & Operation Restored — Ticket Closed**","","Default Workflow"
"77776","Invoiced","Invoiced","Parq on 50th Apartments","BH Management Services LLC","Unit 1102 - Condensate Drain Clearing & Pan Repair","#27088 - No Cool :HVAC","No Cool :HVAC","","323","323","323","56.2","266.8","83","0","323","63","260","No","","","","0","","","","0","Jul 22, 2026","","Aug 21, 2026","","","Wed Jul 22 2026 18:23:38 GMT-0700","2026","July 2026","","","","","0","0","0","0","25","31.2","25","31.2","Jacob Martinez","Jacob Martinez","","30","80.04","NaN","","","-","-","5008 East Thomas Road, Phoenix, Arizona 85018","Phoenix","Arizona","85018","No","MFH:MFH - HVAC","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","10287520","602-354-5936","lydia.flores@livebh.com","602-218-2197 cell","","Logen Uknavage","","","","","","Thu Apr 24 2025 15:03:17 GMT-0700","BH Mgmt,MFH,Commercial","Parq on 50th Apartments","Parq on 50th Apartments","Lydia","Flores","","","","","MFH - HVAC","","Edwin","","","","","Completed","Unit 1102
HVAC is leaking water. Thinks it is a clogged condensate line
POC Edwin","Jacob Martinez","MFH - HVAC","Initial Inspection: when I arrived at the unit it was no longer dripping so I filled the pan with water and
​Observed a minor active drip originating from the condensate drain pan upon arrival.
​Corrective Actions:
​Cleared Drain Line: Cut the condensate line and cleared the obstruction using a Gallo gun.
​Adjusted Pitch: Re-pitched the drain pan to establish proper slope for optimal drainage.
​Testing & Verification: Filled the drain pan ten times with water to test proper flow and runoff. Verified the system is draining correctly with no remaining leaks.","","Default Workflow"
"77774","Paid","Paid","louis hibner","","louis hibner - Invoice - Toilet :Lowes Simple Installs","#26932 - Toilet :Lowes Simple Installs","Toilet :Lowes Simple Installs","","522","522","522","51","471","90","522","0","0","522","Yes","","","","0","","","","0","Jul 22, 2026","","Aug 21, 2026","","","Wed Jul 22 2026 17:03:24 GMT-0700","2026","July 2026","","","","Lowes","0","0","0","0","0","51","0","51","Ashley Reed","Dave Barber Show Low (Contactor)","","0","522","NaN","Sun Jul 26 2026 05:00:00 GMT-0700","Sun Jul 26 2026 05:00:00 GMT-0700","-","-","2634 E POPLAR DR, PINETOP, AZ 85935","PINETOP","AZ","85935","No","Lowes:Simple Installs","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17465593","928-358-2402","chefhibner1@gmail.com","","","","IMS","","","PLUMB - GENERAL (NO SOFTENERS)","PLUMB - GENERAL (NO SOFTENERS)","Fri Jul 10 2026 08:03:36 GMT-0700","Lowes - Simple Installs","louis hibner","","louis","hibner","","412394468","","","Lowes - Simple Installs","","","","","","","Completed","x3
KOHLER Elliston White Elongated Chair height 12-in Rough-In WaterSense 1.28 GPF Soft Close 2-piece Toilet

Store: 5800 S WHITE MOUNTAIN ROAD,
Show Low, AZ 85901

Delivery Fee: PR32430691","Dave Barber Show Low (Contactor)","Lowes","","Lowes,Pick up from Lowes","Default Workflow"
